MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
국도극장,전지희,명필름랩,명필름랩,20200529,개봉영화,장편,한국,7.0,2581000.0,337.0,1401000.0,171.0,드라마,12세이상관람가,독립/예술영화,6.33,8.5
국도극장: 감독판,전지희,명필름랩,명필름랩,20200529,개봉영화,장편,한국,1.0,9046000.0,1106.0,6305000.0,700.0,드라마,12세이상관람가,독립/예술영화,5.59,8.69
침입자,손원평,(주)비에이엔터테인먼트,(주)에이스메이커무비웍스,20200604,개봉영화,장편,한국,1365.0,4806314000.0,531212.0,1029368660.0,110923.0,미스터리,15세이상관람가,일반영화,5.59,7.44
프랑스여자,김희정,(주)인벤트스톤,"(주)디스테이션,롯데컬처웍스(주)롯데엔터테인먼트",20200604,개봉영화,장편,한국,244.0,129230400.0,18106.0,51825160.0,6765.0,드라마,15세이상관람가,독립/예술영화,6.67,7.52
결백,박상현,(주)이디오플랜,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20200610,개봉영화,장편,한국,1112.0,7858099340.0,893855.0,1911700700.0,217456.0,드라마,15세이상관람가,일반영화,5.67,7.65
들리나요?,"김봉한,신승환",(주)영화사장춘,(주)트리플픽쳐스,20200610,개봉영화,장편,한국,103.0,35911140.0,3598.0,15187480.0,1570.0,다큐멘터리,전체관람가,독립/예술영화,5.5,9.07
아이즈 온 미 : 더 무비,박재석,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,20200610,개봉영화,장편,한국,124.0,506274000.0,39228.0,202248500.0,15630.0,공연,전체관람가,일반영화,5.59,9.34
바다로 가자,김량,ZONE Film,ZONE Film,20200618,개봉영화,장편,한국,15.0,8370500.0,1246.0,6458500.0,977.0,가족,전체관람가,독립/예술영화,6.2,8.14
사라진 시간,정진영,"(주)비에이엔터테인먼트,(주)다니필름",(주)에이스메이커무비웍스,20200618,개봉영화,장편,한국,874.0,1651188580.0,185653.0,388762580.0,43314.0,미스터리,15세이상관람가,일반영화,7.5,4.31
야구소녀,최윤태,한국영화아카데미,"(주)싸이더스,찬란",20200618,개봉영화,장편,한국,264.0,316405720.0,36986.0,177574260.0,19840.0,드라마,12세이상관람가,독립/예술영화,6.57,8.13
열혈형사,윤여창,굿픽처스,(주)제이앤씨미디어그룹,20200618,개봉영화,장편,한국,121.0,20539960.0,2492.0,7381000.0,850.0,코미디,12세이상관람가,일반영화,1.5,3.7
#살아있다,조일형,"영화사 집,(주)퍼스펙티브픽쳐스",롯데컬처웍스(주)롯데엔터테인먼트,20200624,개봉영화,장편,한국,1882.0,15965329900.0,1903703.0,3885303840.0,476332.0,드라마,15세이상관람가,일반영화,5.57,4.09
김일성의 아이들,김덕영,다큐스토리,다큐스토리,20200625,개봉영화,장편,한국,13.0,13076500.0,1667.0,9519500.0,1233.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.44
소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,(주)리틀빅픽쳐스,20200701,개봉영화,장편,한국,573.0,642120680.0,79215.0,183695800.0,22306.0,사극,12세이상관람가,일반영화,5.0,8.45
"시, 나리오",김동원,썸머트리 주식회사,(주)노바이앤티,20200702,개봉영화,장편,한국,18.0,1928000.0,243.0,939500.0,104.0,드라마,15세이상관람가,독립/예술영화,4.5,4.61
욕창,심혜정,,필름다빈,20200702,개봉영화,장편,한국,17.0,10067580.0,1288.0,6470080.0,736.0,드라마,12세이상관람가,독립/예술영화,6.8,8.57
부활,구수환,(주)중헌홀딩스,(주)중헌홀딩스,20200709,개봉영화,장편,한국,83.0,112596500.0,14437.0,35630500.0,4343.0,다큐멘터리,전체관람가,일반영화,5.59,7.44
불량한 가족,장재일,(주)발자국 공장,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20200709,개봉영화,장편,한국,161.0,41519940.0,4872.0,17410360.0,1889.0,코미디,12세이상관람가,독립/예술영화,2.5,8.06
테우리,이난,(주)26컴퍼니,(주)26컴퍼니,20200709,개봉영화,장편,한국,16.0,3505980.0,419.0,2894980.0,343.0,드라마,15세이상관람가,독립/예술영화,6.0,6.97
반도,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),20200715,개봉영화,장편,한국,2575.0,33071341280.0,3812080.0,8005831840.0,895163.0,액션,15세이상관람가,일반영화,6.17,5.62
